#separator: tab
#html:true
ウェイ	way
水平 | すいへい	level; horizontality
朝食 | ちょうしょく	breakfast
液体 | えきたい	liquid; fluid
外来 | がいらい	foreign; imported, outpatient; outpatient care; outpatient clinic; outpatient ward
撃つ | う	to shoot (at), to attack; to defeat; to destroy; to avenge
対処 | たいしょ	deal with; cope
捕まえる | つか	to catch; to arrest; to seize
立体 | りったい	solid body; three-dimensional object, multi-storey car park
不便 | ふべん	inconvenience; inexpediency; unhandiness
通路 | つうろ	passage; pathway; roadway; avenue; aisle
生地 | きじ	cloth; fabric; material; texture, one's true character
覚える | おぼ	to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember, to learn; to pick up; to acquire
殴る | なぐ	to strike; to hit; to beat; to punch
下水 | げすい	drainage; ditch; gutter; sewerage, sewage; black water
封筒 | ふうとう	envelope
国有 | こくゆう	national ownership
苦情 | くじょう	complaint; troubles; objection; grievance
育てる | そだ	to raise; to rear; to bring up, to train; to teach; to educate
衣装 | いしょう	clothing; costume; outfit; garment; dress
役に立つ | やく, た	to be helpful; to be useful
口 | くち	mouth, opening; hole; gap; orifice
会談 | かいだん	conversation; conference (usu. between important people); discussion; interview
薬品 | やくひん	medicine; chemicals
彫刻 | ちょうこく	carving; engraving; sculpture
夕食 | ゆうしょく	evening meal; dinner
避難 | ひなん	taking refuge; finding shelter; evacuation; escape
配慮 | はいりょ	consideration; concern; forethought
微妙 | びみょう	delicate; subtle; sensitive, difficult; delicate (situation); complicated
とにかく	anyhow; at any rate; anyway; somehow or other; generally speaking; in any case; at least
発揮 | はっき	exhibition; demonstration; show; display; manifestation
波 | なみ	wave
上級 | じょうきゅう	advanced level; high grade; senior
中旬 | ちゅうじゅん	middle of a month; second third of a month; 11th to 20th day of a month
何度 | なんど	how many times, how many degrees (temperature, angle, etc.)
早朝 | そうちょう	early morning
息 | いき	breath; breathing, tone; mood
掲げる | かか	to publish; to print; to carry (an article), to put up; to hang out; to hoist; to fly (a sail); to float (a flag, kite, etc.)
強引 | ごういん	overbearing; coercive; pushy; forcible; high-handed
空 | から	emptiness; vacuum; blank
同 | どう	the same; the said; ibid.
幸運 | こううん	good luck; fortune
混雑 | こんざつ	congestion; crush; crowding; jam, confusion; disorder
監視 | かんし	monitoring; watching; observation; surveillance; guarding; inspection
騒音 | そうおん	noise
女房 | にょうぼう	wife (esp. one's own wife), court lady; female court attache; woman who served at the imperial palace
深める | ふか	to deepen; to heighten; to intensify
素敵 | すてき	lovely; dreamy; beautiful; great; fantastic; superb; cool; capital
曲 | きょく	song; tune; composition; piece of music
解答 | かいとう	answer; solution
工夫 | くふう	scheme; device; scheming; devising; figuring out; coming up with; solving ingeniously, dedication to spiritual improvement (esp. through Zen meditation)
群れ | む	group; crowd; flock; herd; bevy; school; swarm; cluster (e.g. of stars); clump; pack (e.g. of dogs)
次々 | つぎつぎ	in succession; one by one
相違 | そうい	difference; discrepancy; variation
直線 | ちょくせん	straight line
実習 | じっしゅう	practice; practising; training (esp. practical and hands-on); drill
靴下 | くつした	socks; sock; stockings; stocking
握手 | あくしゅ	handshake
血管 | けっかん	blood vessel; vein
名字 | みょうじ	surname; family name
無人 | むじん	lack of help, unmanned; uninhabited
神話 | しんわ	myth; legend
生える | は	to grow; to spring up; to sprout, to cut (teeth)
マッチ	match (contest), to match with; to go well with
無線 | むせん	wireless; radio
車庫 | しゃこ	garage; carport; depot (trains, buses, etc.)
海上 | かいじょう	(by, at, on) sea; maritime; marine
交付 | こうふ	delivering; handing over; furnishing (e.g. with copies); issuance; issuing
ええ	yes; that is correct; right, um; errr
皿 | さら	plate; dish; platter; disc, serving; helping; course
耐える | た	to bear; to stand; to endure; to put up with, to support; to withstand; to resist; to brave
参議院 | さんぎいん	House of Councillors
審判 | しんぱん	refereeing; trial; judgement; judgment; umpire; referee
全く | まった	really; truly; entirely; completely; wholly; perfectly, indeed
豚肉 | ぶたにく	pork
南極 | なんきょく	South Pole, the Antarctic; Antarctica
水田 | すいでん	(water-filled) paddy field
武士 | ぶし	warrior; samurai
公害 | こうがい	pollution; public nuisance; contamination
食卓 | しょくたく	dining table
真っ白 | ま, しろ	pure white, blank (e.g. mind, paper)
細かい | こま	small, fine; minute
末 | すえ	tip; top, end; close (e.g. close of the month)
逃げる | に	to escape; to run away
小学 | しょうがく	elementary school; primary school; grade school
地形 | ちけい	terrain; geographical features; topography
斜め | なな	slanting; tilted; sloping; diagonal; oblique, unusual; slanted (view of the world); bad (mood)
浅い | あさ	shallow; superficial, slight (wound); light (sleep); pale (colour); inadequate (knowledge)
電波 | でんぱ	electromagnetic wave; radio wave; reception; signal, saying strange things
未定 | みてい	not yet fixed; undecided; pending
様々 | さまざま	varied; various
底 | そこ	bottom; sole
限度 | げんど	limit; bounds
衝撃 | しょうげき	shock; crash; impact; ballistic
古典 | こてん	old book; classics; classic
技 | わざ	technique; art; skill
遅れ | おく	delay; lag; postponement; falling behind
衛生 | えいせい	health; hygiene; sanitation; medical
総会 | そうかい	general meeting
不況 | ふきょう	recession; depression; slump
ボタン	button
軸 | じく	axis; shaft; axle, center; centre; focal point; key point
知能 | ちのう	intelligence; intellect; brains
最悪 | さいあく	the worst
手元 | てもと	at hand; on hand; nearby; close at hand, way of moving one's arms; skill
上空 | じょうくう	sky; the skies; high-altitude sky; upper air
身近 | みぢか	near oneself; close to one; familiar
同士 | どうし	fellow; mutual; companion; comrade
本店 | ほんてん	head office; flagship store; main store, this store
外側 | そとがわ	exterior; outside; outer; external; lateral
ページ	page
兵器 | へいき	arms; weapons; ordnance
手袋 | てぶくろ	glove; mitten; mitt
決断 | けつだん	decision; determination
方式 | ほうしき	form; method; system; formula
青少年 | せいしょうねん	youth; young person
構う | かま	to mind; to care about; to be concerned about, to care for; to look after
火曜日 | かようび	Tuesday
破産 | はさん	bankruptcy; insolvency
地味 | じみ	plain; simple; subdued; sober
結合 | けつごう	combination; union; binding; catenation; coupling; joining, bond
訪れる | おとず	to visit; to call on, to arrive; to come; to appear
伸ばす | の	to grow long (e.g. hair, nails), to lengthen; to extend; to stretch
領土 | りょうど	dominion; territory; possession
昼休み | ひるやす	lunch break; noon recess; noon rest period
主演 | しゅえん	starring; playing the leading part
点数 | てんすう	marks; points; score; runs; number of items; credits
年末 | ねんまつ	end-of-year
畳 | たたみ	tatami mat; Japanese straw floor coverings
まま	as it is; as one likes; because; as, condition; state
手足 | てあし	one's hands and feet; limbs
見本 | みほん	sample; specimen; pattern, model; example
通貨 | つうか	currency
吹く | ふ	to blow (of the wind)​, to blow (one's breath); to breathe out; to blow on (hot tea, candles, etc.); to puff​
秩序 | ちつじょ	order; discipline; regularity; system; method
天体 | てんたい	heavenly body; celestial body; astronomical object
咲く | さ	to bloom
柔軟 | じゅうなん	flexible; lithe; soft; pliable
煮る | に	to boil; to simmer; to stew; to seethe
実感 | じっかん	real feeling; actual feeling, to actually feel; to have a real feeling (that ...); to experience personally
訴訟 | そしょう	litigation; lawsuit
世帯 | せたい	household; home; family; housekeeping
好調 | こうちょう	favourable; favorable; promising; satisfactory; in good shape
全集 | ぜんしゅう	complete works
命じる | めい	to order; to command; to appoint
袋 | ふくろ	bag; sack; pouch, skin of an orange (and other like fruits)
枝 | えだ	branch; bow; bough; twig; limb
騒ぎ | さわ	uproar; disturbance
金子 | きんす	money; funds
水素 | すいそ	hydrogen (H)
正解 | せいかい	correct; right; correct interpretation (answer, solution)
